id_quarto,capacidade,especialidade,politica_genero
R1,3,Geral,D
R2,3,Ortopedia,D
R3,3,Cardiologia,D
R4,3,Neurologia,D
R5,3,Cardiologia,D
R6,3,Cardiologia,D
R7,3,Pediatria,D
R8,3,Pediatria,D
R9,3,Geral,D
R10,3,Ortopedia,D
R11,3,Geral,D
R12,3,Cardiologia,D
R13,3,Neurologia,D
R14,3,Ortopedia,D
R15,3,Geral,D
R16,3,Cardiologia,D
R17,3,Pediatria,D
R18,3,Geral,D
R19,3,Geral,D
R20,3,Ortopedia,D
R21,3,Geral,D
R22,3,Cardiologia,D
R23,3,Geral,D
R24,3,Pediatria,D
R25,3,Cardiologia,D
R26,3,Ortopedia,D
R27,3,Cardiologia,D
R28,3,Cardiologia,D
R29,3,Cardiologia,D
R30,3,Geral,D
R31,3,Ortopedia,D
R32,3,Geral,D
R33,3,Geral,D
R34,3,Geral,D
R35,3,Geral,D
R36,3,Geral,D
R37,3,Ortopedia,D
R38,3,Cardiologia,D
R39,3,Pediatria,D
R40,3,Geral,D
R41,3,Neurologia,D
R42,3,Neurologia,D
R43,3,Ortopedia,D
R44,3,Pediatria,D
R45,3,Geral,D
R46,3,Cardiologia,D
R47,3,Ortopedia,D
R48,3,Neurologia,D
R49,3,Ortopedia,D
R50,3,Cardiologia,D
R51,3,Geral,D
R52,3,Cardiologia,D
R53,3,Ortopedia,D
R54,3,Geral,D
R55,3,Ortopedia,D
R56,3,Neurologia,D
R57,3,Neurologia,D
R58,3,Geral,D
R59,3,Pediatria,D
R60,3,Geral,D
R61,3,Ortopedia,D
R62,3,Geral,D
R63,3,Ortopedia,D
R64,3,Cardiologia,D
R65,3,Cardiologia,D
R66,3,Geral,D
R67,3,Ortopedia,D
R68,3,Ortopedia,D
R69,3,Pediatria,D
R70,3,Neurologia,D
R71,3,Geral,D
R72,3,Geral,D
R73,3,Cardiologia,D
R74,3,Geral,D
R75,3,Geral,D
R76,3,Cardiologia,D
R77,3,Cardiologia,D
R78,3,Geral,D
R79,3,Cardiologia,D
R80,3,Geral,D
