id_quarto,capacidade,especialidade,politica_genero
R1,3,Cardiologia,D
R2,3,Pediatria,D
R3,3,Cardiologia,D
R4,3,Cardiologia,D
R5,3,Ortopedia,D
R6,3,Cardiologia,D
R7,3,Geral,D
R8,3,Ortopedia,D
R9,3,Cardiologia,D
R10,3,Geral,D
R11,3,Ortopedia,D
R12,3,Geral,D
R13,3,Ortopedia,D
R14,3,Geral,D
R15,3,Pediatria,D
R16,3,Geral,D
R17,3,Ortopedia,D
R18,3,Neurologia,D
R19,3,Geral,D
R20,3,Geral,D
R21,3,Neurologia,D
R22,3,Geral,D
R23,3,Cardiologia,D
R24,3,Pediatria,D
R25,3,Geral,D
R26,3,Geral,D
R27,3,Ortopedia,D
R28,3,Neurologia,D
R29,3,Geral,D
R30,3,Cardiologia,D
