id_quarto,capacidade,especialidade,politica_genero
R1,3,Cardiologia,D
R2,3,Geral,D
R3,3,Ortopedia,D
R4,3,Cardiologia,D
R5,3,Pediatria,D
R6,3,Cardiologia,D
R7,3,Pediatria,D
R8,3,Cardiologia,D
R9,3,Geral,D
R10,3,Ortopedia,D
R11,3,Geral,D
R12,3,Cardiologia,D
R13,3,Geral,D
R14,3,Neurologia,D
R15,3,Geral,D
R16,3,Neurologia,D
R17,3,Neurologia,D
R18,3,Cardiologia,D
R19,3,Cardiologia,D
R20,3,Ortopedia,D
R21,3,Geral,D
R22,3,Geral,D
R23,3,Pediatria,D
R24,3,Neurologia,D
R25,3,Cardiologia,D
R26,3,Pediatria,D
R27,3,Cardiologia,D
R28,3,Neurologia,D
R29,3,Geral,D
R30,3,Neurologia,D
R31,3,Pediatria,D
R32,3,Ortopedia,D
R33,3,Cardiologia,D
R34,3,Cardiologia,D
R35,3,Cardiologia,D
R36,3,Geral,D
R37,3,Cardiologia,D
R38,3,Ortopedia,D
R39,3,Cardiologia,D
R40,3,Neurologia,D
R41,3,Geral,D
R42,3,Geral,D
R43,3,Cardiologia,D
R44,3,Cardiologia,D
R45,3,Geral,D
R46,3,Geral,D
R47,3,Ortopedia,D
R48,3,Cardiologia,D
R49,3,Ortopedia,D
R50,3,Geral,D
R51,3,Geral,D
R52,3,Geral,D
R53,3,Ortopedia,D
R54,3,Pediatria,D
R55,3,Ortopedia,D
R56,3,Cardiologia,D
R57,3,Geral,D
R58,3,Geral,D
R59,3,Ortopedia,D
R60,3,Neurologia,D
R61,3,Ortopedia,D
R62,3,Cardiologia,D
R63,3,Geral,D
R64,3,Ortopedia,D
R65,3,Cardiologia,D
R66,3,Geral,D
R67,3,Cardiologia,D
R68,3,Geral,D
R69,3,Pediatria,D
R70,3,Geral,D
R71,3,Cardiologia,D
R72,3,Geral,D
R73,3,Neurologia,D
R74,3,Ortopedia,D
R75,3,Geral,D
R76,3,Ortopedia,D
R77,3,Ortopedia,D
R78,3,Cardiologia,D
R79,3,Neurologia,D
R80,3,Cardiologia,D
R81,3,Cardiologia,D
R82,3,Geral,D
R83,3,Pediatria,D
R84,3,Pediatria,D
R85,3,Geral,D
R86,3,Geral,D
R87,3,Ortopedia,D
R88,3,Geral,D
R89,3,Geral,D
R90,3,Ortopedia,D
R91,3,Geral,D
R92,3,Ortopedia,D
R93,3,Cardiologia,D
R94,3,Ortopedia,D
R95,3,Ortopedia,D
R96,3,Pediatria,D
R97,3,Pediatria,D
R98,3,Ortopedia,D
R99,3,Geral,D
R100,3,Cardiologia,D
R101,3,Neurologia,D
R102,3,Cardiologia,D
R103,3,Cardiologia,D
R104,3,Ortopedia,D
R105,3,Geral,D
R106,3,Geral,D
R107,3,Cardiologia,D
R108,3,Geral,D
R109,3,Geral,D
R110,3,Cardiologia,D
R111,3,Cardiologia,D
R112,3,Cardiologia,D
R113,3,Geral,D
R114,3,Pediatria,D
R115,3,Geral,D
R116,3,Geral,D
R117,3,Geral,D
R118,3,Geral,D
R119,3,Cardiologia,D
R120,3,Pediatria,D
R121,3,Cardiologia,D
R122,3,Geral,D
R123,3,Ortopedia,D
R124,3,Pediatria,D
R125,3,Neurologia,D
R126,3,Geral,D
R127,3,Ortopedia,D
R128,3,Geral,D
R129,3,Geral,D
R130,3,Ortopedia,D
R131,3,Pediatria,D
R132,3,Geral,D
R133,3,Geral,D
R134,3,Geral,D
R135,3,Cardiologia,D
R136,3,Ortopedia,D
R137,3,Geral,D
R138,3,Neurologia,D
R139,3,Geral,D
R140,3,Geral,D
R141,3,Ortopedia,D
R142,3,Neurologia,D
R143,3,Geral,D
R144,3,Geral,D
R145,3,Ortopedia,D
R146,3,Ortopedia,D
R147,3,Cardiologia,D
R148,3,Geral,D
R149,3,Ortopedia,D
R150,3,Neurologia,D
