id_quarto,capacidade,especialidade,politica_genero
R1,3,Ortopedia,D
R2,3,Neurologia,D
R3,3,Cardiologia,D
R4,3,Neurologia,D
R5,3,Geral,D
R6,3,Geral,D
R7,3,Pediatria,D
R8,3,Geral,D
R9,3,Geral,D
R10,3,Geral,D
R11,3,Cardiologia,D
R12,3,Neurologia,D
R13,3,Pediatria,D
R14,3,Geral,D
R15,3,Ortopedia,D
R16,3,Ortopedia,D
R17,3,Cardiologia,D
R18,3,Cardiologia,D
R19,3,Geral,D
R20,3,Cardiologia,D
R21,3,Cardiologia,D
R22,3,Neurologia,D
R23,3,Cardiologia,D
R24,3,Neurologia,D
R25,3,Geral,D
R26,3,Ortopedia,D
R27,3,Geral,D
R28,3,Cardiologia,D
R29,3,Ortopedia,D
R30,3,Geral,D
R31,3,Pediatria,D
R32,3,Geral,D
R33,3,Geral,D
R34,3,Geral,D
R35,3,Geral,D
R36,3,Cardiologia,D
R37,3,Ortopedia,D
R38,3,Cardiologia,D
R39,3,Ortopedia,D
R40,3,Ortopedia,D
R41,3,Ortopedia,D
R42,3,Cardiologia,D
R43,3,Geral,D
R44,3,Pediatria,D
R45,3,Cardiologia,D
R46,3,Geral,D
R47,3,Cardiologia,D
R48,3,Pediatria,D
R49,3,Geral,D
R50,3,Cardiologia,D
R51,3,Geral,D
R52,3,Geral,D
R53,3,Ortopedia,D
R54,3,Pediatria,D
R55,3,Cardiologia,D
R56,3,Ortopedia,D
R57,3,Neurologia,D
R58,3,Geral,D
R59,3,Geral,D
R60,3,Ortopedia,D
